,ID,Tweet,Label
13,3823,Ο καινουριος βρωμαει απο χιλιομετρα μπουρτζοβλαχος καγκουρομαγκας χαζοναρκισσος. Αλλα ευτυχως μας ξεκαθαρισε οτι ολες τον θελουν κι αυτος τις αφηνει και γλυτωσαμε την καψουρα του #PowerOfLoveGR,Offensive
14,4004,Αλιμονο η Σπυριδουλα εχει να διαχειριστει και μια δημοσιοτητα τωρα! περιζητητη παντου! που καιρος για γαμους αυτα ειναι για τον κοσμακη! δεν προλαβαινει η Σταρουμπα να ραφτει στη VERA WANG! αει μαρη! #masterchefgr_Xeftiles #giatinparea #survivorgr #starkoukou #MasterChefGR,Not Offensive
15,4066,"Μόνο για άντρες Όταν συζητάτε με γυναίκα που σας αρέσει(όχι σχέση), τη σκέφτεστε σεξουαλικά;",Not Offensive
16,4453,ρε μαλακα ΜΟΝΟ η δαλακα ακουγεται να σχολιαζει αρνητικα! ΕΙΣΑΙ Η ΜΟΝΑΔΙΚΗ ΑΘΛΗΤΡΙΑ ΕΝ ΕΝΕΡΓΕΙΑ ΕΚΕΙ ΜΕΣΑ! και εισαι η μονη που ακουγεσαι να σχολιαζεις αρνητικα! #survivorGR,Not Offensive
17,4813,"Τρέιλεp #MasterChefGR ,μετά το φαγητό...άμα βλέπεις την πατσαβούρα,δεν το γλιτώνεις το ξερατο..#giatinparea #ShoppingStar #poweroflovegr",Offensive
18,2,Πάντως επειδή θυμάμαι πολυ καλα αυτα που ειχε πει η Κώνσταντινα μόνο αν ήσουν βλάκας (η παρουσιάζεις εκπομπή) δεν θα καταλάβαινες πως όντως έκανε πλακα η κοπέλα και αυτοτρολαριζοταν αλλα ως γνωστόν απ την μύγα ξύγκι στα κανάλια .. #GiaTinParea,Offensive
19,6,Ρε Γιακουμάκη πόσο κιλά μαλάκας μπορεί να είσαι;,Offensive
20,9,"@USER Κι εγώ από τον Σταύρο Θεοδωράκη θα θυμάμαι την γελοία υπεκφυγή για το ότι παρά τις προφυλάξεις του πατέρα του, ο μαλάκας τελικά την έσπασε την καπότα.",Offensive
21,12,"#SurvivorGR. Για άλλη μια φορά......τελεία κ παύλα, ΔΑΛΑΚΑ ΕΙΣΑΙ ΚΑΥΛΑ!",Offensive
22,13,@USER Ακροδεξιούς-χουντικους που μιλούσαν για ψεκασμούς έχεις συνεταίρους στη μάσα και μιλάς ρε μνημονιακέ ΞΕΦΤΙΛΑ;,Offensive
23,14,Ώρα να πρήξω όσα αρχιδια μπορούν να πρηστουν για να πάμε θάλασσα ‍️,Offensive
24,18,@USER Εγώ ναι μπορεί να είμαι αυτό. Εσύ εισαι ένα μπασταρδο καθηκι που βλεπει εφηβικο ερωτα μεταξυ 14χρονου που δεν ξερει που παν τα τέσσερα και ενος τύπου 3 δεκαετιες μεγαλυτερου που την επεσε σε ενα μικρο κοριτσακι. Καταλαβες αρρωστο καθηκι;,Offensive
25,26,@USER Είσαι βλαμμένη αλλά παρόλα αυτά δεν είναι σωστή ούτε καν η σκέψη για αυτοκτονία για κανέναν λόγο.,Offensive
26,37,"@USER Έχω να πω επίσης ότι εγώ δεν έχω καπότα επειδή το ""ξέχασα"", εσυ αν έχεις καπότα είσαι ποθτανα",Offensive
27,41,"@USER Οτι και να ρωτήσεις, άντε γαμήσου θα σου πούμε, μουνόψιρα του διαδικτύου",Offensive
28,42,@USER το μουνι σου ειναι ρουμπινι και κανενας δεν θα μεινει,Offensive
29,43,"@USER Ασχετο ότι να ναι, δε με ενδιαφέρει γιατί πρώτον δεν σε ξέρω, δεύτερον δεν έχω ιδέα εσύ τι πιστεύεις και ψηφίζεις, και τρίτον είσαι απλά ένα ενοχλητικό ακάου στο τουιτερ, ψιλοτρελαμένη που έρχεσαι κάθε τόσο να λες μαλακιες",Offensive
30,44,@USER Κόψε τις μαλακίες τα 30 δις της καβάτζα είναι υπερφορολόγηση που μας ήπιε το αίμα και αύξησε και το χρέος κατά 26 δις και άντε και στο διάολο,Offensive
31,48,Όσο για τη στυλιστρια του κώλου ποιος είπε ότι δε φοράνε φουστάνια στις μπυραρίες και ποιος είναι αυτός που θα ορίσει την θυλυκη υπόσταση μιας γυναίκας...Μπράβο σε όσες δεν ξεχνούν ότι είναι ΓΥΝΑΙΚΕΣ και όχι τουρίστριες από τα Μάταλα...Βάλτε εσείς oxford με φουστανι #shoppingstar,Offensive
32,60,"@USER Παιδάκι τριών ετών που όμως έμαθε αριθμητική από τα γεννοφάσκια, μου είπε: ""Στον παππού μου έκοψε 150 € το μήνα, δηλαδή 1800 το χρόνο, και έδωσε επίδομα 200 €. Για μαλάκες μας περνάει;""",Offensive
33,65,"""Πως ημασταν και πως καταντησαμε γαμω τη ντρέλλα μου. Απ΄τα κοτερα και τα τσαγια στους Λευκους Οικους και τις κοκκινες μοκέτες στη Καγκελαρία στο να κολλάμε παλι αφίσες και να ξαναλεμε απ΄την αρχη τις μαλακιες για τον Τσε. Πουτάνα ζωη...""",Offensive
34,66,"Αυτο που εισαι αρρωστος, γαμιεσαι στη δουλεια, γενικα ψυχολογικα εισαι χαλια αλλα δεν γκρινιαζεις και σου γκρινιαζουν οι αλλοι γιατι και δεν κανεις τον καραγκιοζη για να ειναι καλα Αυτο",Offensive
35,69,Ο άγγλος στην Αγγλία είναι πούστης στην Ελλάδα ατομάρα γιατί;,Offensive
36,71,@USER Πόσο θα γούσταρα άτομα σαν τον Θάνο στη ΝΔ και άτομα σαν τον Γιακουμάτο στο διάολο...,Offensive
37,77,"@USER Και βέβαια ο ΣΥΡΙΖΑ είναι για τον πουτσο που συγκυβέρνησε με δεξιούς εθνικιστές κτλ. κτλ. και γενικά είναι για τον πουτσο. Αλλά με όρους μεινστρημ πολιτικής η ΠΑΣΟΚΑΡΑ και η ΝΔ έχουν διαπράξει εγκλήματα. Και μόνο που παίζει Λοβερδος που διαπόμπευσε φτωχές, οροθετικές εσενα",Offensive
38,84,Ειναι τοσο μαλακας ο γιδοβοσκος.....,Offensive
39,87,@USER - Σ'ευχαριστώ που με ξέπλυνες. Άντε γαμήσου τώρα. - Χαχαχα......ε;,Offensive
40,88,"Πως είστε έτσι ρε γαμώτο που σας ανοίγουν και τα πόδια τους οι γυναίκες σας. Φαντάσου να είχα εγώ άντρα ή γιο που κάθεται και ενοχλεί μια γυναίκα που μένει μόνη της στην Αθήνα και αντί να του έκοβα τ' αρχίδια, να του έλεγα ""Τί υπέροχο αντράκι είσαι, καμάρι μ""",Offensive
41,89,@USER Α καλά είσαι.. Και το χειρότερο όταν τους τα εξηγείς και τους λες κ ηλίθιους παρεξηγούνται,Offensive
42,91,Τι γίνεται μωρε;Ωπου μαλάκας σε μένα θα ρθει;Βέβαια χειρότερος απο αυτόν δεν νομίζω να υπάρχει αλλά και πάλι,Offensive
43,97,για τον πουτσο λαος για τον πουτσο κομματοσκυλα να τα λεμε κι αυτα,Offensive
44,98,"Ροζ πουτάνες, δεν κατάλαβε ρε ο κόσμος τι ψήφισε. Μην μασάτε, #ΞΑΝΑΕΡΧΕΤΑΙ #syriza_xeftiles #ερχεται_μεγαλυτερη #εκλογες2019",Offensive
45,106,#giatinparea Τι πράγμα είναι αυτό να εκμεταλλεύονται όλα τα ψώνια και τα ξεκωλα την εκπομπή του Μουτσινά και να τα προβάλλει κιόλας αυτός...! Αν έκανε 5% γραμμένο θα τον είχατε. Εμείς πάντως τον βλέπουμε για χαβαλε και για να γελάμε. Για διαφήμιση αυτοπροβληθειτε στο Ινσταγκραμ.,Offensive
46,110,@USER Σε λυπαμαι. Ποσο αρρωστη και ηλιθια . εισαι. Η ζηλια και η κακια σε πανε πισο στη ζωη σου. κοιτα να το ξεπερασεις. Ειναι κριμα για σενα.,Offensive
47,117,@USER Κουφαλιτσα...ομοφυλόφιλος είσαι;,Offensive
48,118,@USER Σκατα στα μούτρα σας μαλακες,Offensive
49,126,"@USER Εχμμμμ.... τσυριζαίοι που έχασαν τη γη κάτω απο τα πόδια τους... Κυρία μου είχες πραγματικά ελπίδες οτι θα ήταν η διαφορά 1, 2 μονάδες ε; Άχου το... μήπως εσύ είσαι η ηλίθια της υπόθεσης; Λέω μήπως",Offensive
50,129,@USER Σαν ναι σένα γκέι δεν ήταν !Εσύ είσαι τρανς σίγουρα αυτός δεν Ήταν γκέι,Offensive
51,133,@USER α είσαι και χοντρή; όλα τα κακά σε σένα ρε παιδί μου,Offensive
52,139,"@USER Το""αχου και στα αρχιδια μας"" πως λέγεται στα ευγενικά ρε παιδιά; Ο Αντώναρος στην Ακριβοπούλου είναι είδηση; Θα τρελαθουμε τελείως;",Offensive
53,140,"@USER Γιατί αυτόν έχω πρόχειρο και εν δυνάμει πρωθυπουργό.. και γιατί εμείς οι πρώην καραμανλικοι, ξέρουμε από μαλακες..",Offensive
54,147,"Αν ειναι να με θάψει ζωντανή , να παιχτεί κατι με τη μήτρα κ το μυαλο του , να Πιει το αίμα μου κ αλλα υγρά μου που θα ναι πεταμένα απο δω κ απο εκει , για να νιωσω τον Ερωτα , στο μουνι μου , για παντα μονη μου ρε !",Offensive
55,149,Ρε Κωστοπουλε μαθε να εισαι κοσμιος. Τηλεοραση κάνεις δεν χαβαλεδιαζεις με αλλους φλωρους σε καμια παραλια. Ζαπινγκ εκανα και τι δεν ακουσα. Για κοκες για παραχεσιμο. Φτου βρωματε#OlaLathos,Offensive
56,153,@USER Νταξει τον λυπομουνα τον γελοίο τον τονι αλλά ρε φίλε Άι στο διάολο!σιχαμενοι και οι 3,Offensive
57,157,#shoppingstar τι σεξυ μαρι;χαμηλοκωλα εισαι έλεος κακιασμενη ψωναρα,Offensive
58,163,"Κανένα μπράβο στη #ΝΔ που έδιωξε τον Στεφανίδη, ξεφτίλα που τον είχε εξαρχής. Ρατσιστής και ηλίθιος.#Κουνεβα",Offensive
59,171,@USER Σε παραδέχομαι μωρή φώφη αρχηγηνάρα ξεπέρασες τον Τσίπρα στις μαλακίες συνεχίζεις το έργο του ΓΑΠ κοντεύεις να το διαλύσεις το΄ΠΑΣΟΚ συνέχισε είσαι σε καλό δρόμο.,Offensive
60,183,Γωγω σταματα να κανεις το χαζοχαρουμενο κοριτσακι δεν ειναι χαριτωμενο πια 40αρισες! #shoppingstar,Offensive
61,184,ΠΟΥΤΑΝΟΛΙΛΙΑΝ ΣΤΗΝ ΚΑΤΙΑ ΘΑ ΜΙΛΑΣ ΜΕ ΠΕΡΙΣΣΟΤΕΡΟ ΣΕΒΑΣΜΟ. ΣΤΗΝ ΚΑΤΙΑ #gynaikaxwrisonoma,Offensive
62,186,@USER Αντε γαμησου ρε που θα μου πεις εμένα να ψηφίσω Μητσοτάκη Σουργελα,Offensive
63,190,"Θα έρθει ο Κυριάκος. Ε, και τι έγινε μωρέ; Θα πεθαίνουν οι συνταξιούχοι σαν τα σκυλιά στ αμπέλι και θα έχει να πληρώνει και λιγότερες συντάξεις. Μαλάκες! #εκλογες2019 #Ευρωεκλογές2019 #Εκλογές #Ευρωεκλογές #Μητσοτακης #ΝΔ #ΝΔ_ξεφτιλες",Offensive
64,191,"@USER 1 εκ. φορες μαλακας, η μια θα σε πειραξει;",Offensive
65,194,@USER αναλώσιμες γυναίκες,Offensive
66,195,@USER Και κατά τα άλλα τράβα γαμήσου συριζοτρολ που θα υπερασπιστείς την πιο ακροδεξιά κυβέρνηση της μεταπολίτευσης. Τον πούλο από το προφίλ μου καραγκιόζη.,Offensive
67,196,"Σε πέτυχα στο εκλογικό, Φορούσες το κολάν σου, Με χάζεψε η κορμάρα σου, Το ξέρω...στ απ'αυτά σου! Δε θα ψηφίσω τίποτα, για διαμαρτυρία, Θα περιμένω όταν βγείς κι ας είσαι σνομπαρία",Offensive
68,199,@USER Άρα καταλήγουμε στην αρχή. κωλόπαιδα οι μαύροι ολόκληρο καρχαρία πιάσανε κ δεν έδωσαν μια μπουκιά.,Offensive
69,202,@USER Το να πολεμάς τον ΣΥΡΙΖΑ είναι πατριαρχική ξεφτίλα;,Offensive
70,205,@USER μεγαλη καριολα,Offensive
71,209,"Έρχεσαι Αγγλία και βλέπεις όλη την τρασίλα και λες ενταξει ρε συ δεν είμαστε το ίδιο τι να κάνουμε. Μετά βάζουμε τον Βελόπουλο στην ευρωβουλή και λες καλός μαλακας είμαι γαμω την Ελλάδα, τη σημαία και ότι βγαίνει σε μπλέ.",Offensive
72,214,@USER Εννοείς αυτούς που αναπαρήγαγαν το δικό σου tweet για τους αναξιοπρεπείς ζητιάνους κι αργόσχολους τεμπέληδες που συναποτελούν την οικογένειά σου και που φυσικά ψηφίζουν #syriza_xeftiles για να τσεπώνουν επιδόματα ως άεργοι;! Ενημέρωσέ τους πως #Έρχεται_ΠΟΥΤΣΑ την Κυριακή!,Offensive
73,218,Ίσα μωρή δουλαρα τελικά ίδια με την αδερφή σου είσαι. Και οι δύο τα φύλλα και τα δέντρα παίρνεται #hEpistrofi,Offensive
74,219,Φίδι φαρμακερό η Ρεγγίνα σκύλα και κακό φθονερο στοιχείο που μπήκε μέσα κ το έπαιξε κανονικά στον Παύλο Παπαδόπουλο κ αυτοσ δεν μάσησε ( ευτυχώς) χειρότερη κ από Άννα και από νερτζη .πραγματικά ΚΑΚΟ ΑΝΤΕΡΟ #PowerofloveGR,Offensive
75,221,Πάλι η Βούλτεψη στα κανάλια γαμώ την πουτάνα μου και το λέω εγώ που ψηφίζω δεξιά με σιχάθηκα τώρα,Offensive
76,226,@USER Αγαπητε να διαβασεις την διακριση εξουσιων του Μοντεσκιε. Και τι στο πουτσο σχεση εχω εγω με τη κυβερνηση και δικαιοσυνη.,Offensive
77,227,"@USER σίχαμα είσαι. Και φαίνεσαι. Το σχοινί στο οποίο περπατώ για να κάνω τη δουλειά μου μόνο από κάτω το θωρείς. Υποθέτοντας τι βλέπεις, καληνύχτα",Offensive
78,229,@USER ρε γιατρε εισαι για τον πουτσο !,Offensive
79,234,"η επιτομή του ανθρώπινου εκφυλισμού... κάντε ελεύθερα εμετό, !ΠΡΟΣΟΧΗ! επιλέξτε ""χρυσαφί"" χρώμα το αντικείμενο που θα ρίξετε ""ρουκέτες"" εμετού τύπου εξορκιστή, μην σας πουν ότι ανήκετε και στην κατηγορία των ""αδυνάτων"". #ΝΔ_ξεφτιλες #Vomiting",Offensive
80,235,Να πας να ρωτήσεις τον Βενιζελο Μα δεν είναι αυτό αντισυνταγματικό κύριε Βενιζελε μου να σου πει κανα Αυτό σαφώς κ δεν είναι αλλά ο κωλος σου είναι κ να μαραθεί το μέσα σου για πάντα φορεβερ εν εβερ,Offensive
81,237,Ελληνες σηκωθείτε να πάτε ψηφίσετε γιατί οι λαθρο που ελληνοποιησε ο κατσαπλιας #Τσιπρας θα τον ψηφίσουν με χέρια κ με πόδια! #εκλογες2019 #ερχεται_ΠΟΥΤΣΑ,Offensive
82,238,Όχι μωρη Σπυ. Τυχαια δεν εισαι εκει. Χαρη στον εξωστη εισαι. Πατσαβουρομουνα #MasterChefGR,Offensive
83,239,@USER Μήπως είσαι πουσταρα;,Offensive
84,240,@USER Εισαι μακακας και πως θα παει ρε βληματοφορο ο αλλος να πληρωσει 70€ δεν παει σε ελςυθερη παραλια πρεπει αστερα ντε και καλα,Offensive
85,241,"@USER Ε ναι ,δημόσιας τάξης η ακόμα καλύτερα,,,,εθνικής άμυνας ️θα ζήσουμε μεγάλες στιγμές,, δυστυχώς,με τους μαλακές που έχουν το ίδιο δικαίωμα ψήφου με μας",Offensive
86,242,«Παρατράγουδα» με παπά και βουλευτή του ΣΥΡΙΖΑ στη Χίο: «Πάρε τα 30 αργύρια για τα οποία πούλησες τη Μακεδονία» #ΣΥΡΙΖΑ_ξεφτιλες #ΣΥΡΙΖΑ #Εκλογές #εκλογες2019,Offensive
87,243,Οι ψυκτικοί και οι νοικοκυρές γέμισαν το κλειστό του Περιστερίου για να ακούσουν τον Μητσοτάκη. Έμεινε πίσω ο περήφανος να τραβάει τα βυζιά του. #Ευρωεκλογές2019 #ΕΡΧΕΤΑΙ_ΠΟΥΤΣΑ,Offensive
88,244,"δεν μας έφτανε το #shoppingstar και τα παλιομάγαζα που στέλνει τις ζαβές, μας διαφημίζουν και online τα πατσαβούρια! MUTE!",Offensive
89,252,ΟΥΤΕ ΝΑ ΜΟΥ ΤΟΝ ΔΕΙ ! #shoppingstar,Offensive
90,254,@USER Πάνε γαμήσου ρε γιαννννακη βολντερμορ.. Άιντε καραγκιοζο..,Offensive
91,258,"Στο συμβόλαιο που υπέγραψαν μάλλον θα είχε ως όρο να έρθουν το πολύ δεύτεροι, όχι εσύ μωρή κάμπια οι υπόλοιποι #MasterChefGR_Xeftiles",Offensive
92,262,"""Προδότη πάρε τα 30 αργύρια που πούλησες την Μακεδονία."" Άξιος ο ιερέας που πέταξε τα κέρματα στο πρόσωπο βουλευτή του #ΣΥΡΙΖΑ_ξεφτιλες . Τέτοιους πατριώτες ιερείς θέλει η Ελλάδα μας.. """"Για την Ελλάδα και την ορθοδοξία!"""" #ορθοδοξία",Offensive
93,265,@USER σορι αλλά έχω πολλά νεύρα με τους μαλακες τους σρζαιους που χάνουν απο μαλακίες,Offensive
94,268,@USER Οι γυναικες ευγνωμονουσες θα σας μαυρισουν δεοντως! Αραγε οι συριζαιες γυναικες θα ενοχληθουν καθολου;,Offensive
95,271,"Ρε φίλε πόσο μάλακας, μα πόσο χοντρομαλάκας πρέπει να είσαι... ...με βλέπεις που σταματάω σε διάβαση πεζών (χωρίς φωτεινό σηματοδότη) για να περάσει μια οικογένεια με μαμα, μπαμπα, δυο παιδια, ενα στην...",Offensive
96,275,Τι έλεγε η άλλη όταν ψηφίζανε κ πουλουσανε την Μακεδονία;Δώστε πόνο; Πάρτε πουτσα τώρα #εκλογες2019 #ερχεται_ΠΟΥΤΣΑ,Offensive
97,277,@USER 3ήμερο εκδοχή γιανη: Ότι αρπάξει ο κωλος μας από ψηφοφόρους,Offensive
98,278,"@USER Μέχρι να υπάρξει συγκεκριμένη πρόταση, I call bullshit. Αν σκοπεύουν να μετράνε την ευτυχία, το ποσο ενδιαφερουσες είναι οι δουλειές και το ποσό κοστίζουν οι υπηρεσίες πλυσιματος πιάτων από τις γυναίκες που ασχολούνται με τα οικιακά, και το sustainability, καλή τύχη.",Offensive
99,282,@USER χαχαχαχαχαχαχαχα τι μαλάκας είναι,Offensive
100,285,@USER Καποιος πληρωνει τις συνεπειες επειδη δεν εχει αλλη επιλογη! Αν δεν καταλαβαινεις τ λογια τ αλλου δεν δικαιουσαι επιθεσεις. Να μελετησεις να τ καταλαβεις και να διδαξεις κιολας. Και ο καθενας λεει την αποψη τ δημοσια απο αφελεια. Δεν εχει υποψη του οτι υπαρχουν μαλακες.,Offensive
101,287,@USER Για κατι τετοιους δεν επεμβαινει καμια δικαιοσυνη....! Γι αυτο παλια τους αλοιφαν με πισσα και πουπουλα και μετα τους πετουσαν απο το γκρεμο να δουν εαν εμαθαν να πετανε! Κωλοπροδοταρε!,Offensive
102,290,Κλασικοί #ΝΔ_ξεφτιλες. Συμπεριφέρονται σαν να είμαστε τα δουλακια τους.,Offensive
103,291,"@USER Μακάρι ρε φίλε,γιατί μας έχει μαυρίσει την ψυχή αυτή η χωρίς λογική ψήφος στους ξεφτίλες .",Offensive
104,297,@USER Και τον καλούν σ όλα τα κανάλια. Ξεφτίλες,Offensive
105,298,Προβοκατσια λεει η αλλη για τα αισχη χθες στα Πετραλωνα. Α κ οτι φοραμε παρωπιδες μας ειπε. Τι ζουμε γαμω την πουτανα μου #ερχεται_2η,Offensive
106,300,"@USER Το ορθόν: ""Είσαι άτυχος γιατί γεννήθηκες ένας ανίκανος Χάρυ Πότερ που ότι πιάνει το κάνει σκατά και 2ον πάσχισες να ηγηθείς ενός λαού που δυστυχώς για σένα δεν είναι τόσο ηλίθιος όσο πίστευες"".",Offensive
107,303,Ξεκαθαρα το στηνουν το πιατο στην τραπεζαρια κρυφα απο τους υπολοιπους για να ειναι σιγουροι οτι θα βγαλει πιατο το ορνιο. Ποσες φορες το γυρισατε το πλανο ρε #MasterChefGR_Xeftiles μεχρι να το πετυχει η δικια σας; #masterchefgr,Offensive
108,304,@USER Τράβα γαμησου λέω εγω,Offensive
109,308,"@USER Ναι θα είχε, με το κάθε μαλακισμένο πια!",Offensive
110,311,Το ότι με το ζόρι να συμπαθήσει τον Μιχάλη η Μελιτη..... έλεος πια με τον βλάκα! #gynaikaxwrisonoma,Offensive
111,321,@USER είσαι ανέραστ@,Offensive
112,326,@USER Λεγε τα πράγματα έτσι όπως είναι μουνοπανο.... Έκατσε και σε περίμενε 4 μήνες να βγεις και το αποτέλεσμα ήταν να την αφήσεις επίδει νόμιζεις ότι είσαι διάσημος... Παπαρια είσαι.. Πρέπει να ντρέπεσαι που λες ότι είσαι από την Κάλυμνο.....,Offensive
113,327,"@USER Ε βούλωσε επιτέλους την τρύπα που γενάει κοτσάνες ρε ΝΟΥΜΕΡΟ! Μιλάς ΕΣΥ ρε ΑΡΟΥΡΑΙΑΕ για χουντογόνους; Και εμείς ξέρουμε γοια τις 50άδες μετακλητούς του Κούλη, δεν φτάσαμε ποτέ στην ξεφτίλα αυτής της παπαροεπιχειρηματολογίας- υπήρχαν παντα οι ΜΠΑΖΕΣ ΣΑΣ.",Offensive
114,330,@USER Δλδ εσύ πιστεύεις ότι όσο παίζεις τον πούτσο τόσο ανεβαίνει η αξία του; Ε μα τι άλλο χρειάζεται για να καταλάβουμε ότι είσαι μαλάκας;,Offensive
115,332,"Μπράβο ξεφτίλες Χαλανδραίοι που βγάλατε Δήμαρχο τον συριζαίο που ερήμωσε το κέντρο. Αφού σας αρέσει να βλέπετε το κέντρο να μετατρέπεται σε στέκι αλητών, μπράβο. Ηλίθιοι!",Offensive
116,346,@USER Μεγάλε έχουμε 21 αιώνα...είσαι ντιπ ζαβό...μπεεεεε,Offensive
117,349,Νικολα μου μην παραπονιεσαι που θα χασεις τα βουρλα του #poweroflovegr αυτη την βδομαδα! αντε βρε τυχερακια θα βλεπεις αλλα καλυτερα σουργελα! τους υποψηφιους! ΚΑΛΑ ΝΑ ΠΑΘΕΙΣ! #survivorGR #giatinparea!,Offensive
118,353,Ειχαμε τοσο καιρο το τραγουδι με το τανγκο τωρα σπαστε μας τ'αρχιδια με το meine liebe...#tatouaz,Offensive
119,359,Ο μπετοβλακας άρχισε να μοιράζει φουμαρα. . . . Η γνωστή τακτική της #ΝΔ_ξεφτιλες. . Πόσο σας έχει λείψει η κουταλα με το μέλι σιχαμενοι! ! ! ! #εκλογές,Offensive
120,363,Κουτσούμπας: Ο Θεός μας φύλαξε και ο Τσίπρας τά' κανε μουνί με τη δίωξη των υπεύθυνων για τη χρεοκοπία της χώρας #kke_xeftiles,Offensive
121,364,@USER Εμ...οι πουτάνες και οι χαζές δεν έχουν τις τύχες τις καλές που λένε.;,Offensive
122,368,@USER Καμία λησμονιά. Κατακραυγή για μια ζωή και φυλακή! Το αίμα των νεκρών και η ασέβεια απέναντι στους νεκρούς να της υπενθυμίζεται όπου πατάει το πόδι της η καριόλα!,Offensive
123,370,@USER Bαρεμένος...εντελώς.Στο διάολο και αυτός,Offensive
124,376,"@USER Οι μουσουλμάνες που τις βιάζουν έτσι κ αλλιώς, οπότε τις βολεύει να κυνηγούν εμάς κ να αφήσουν αυτές ήσυχες οι άντρες τους.",Offensive
125,381,@USER Μα τη μπαναια δε ξέρω αν ΕΣΥ είσαι ΤΟΣΟ μαλκισμενη η αν θεωρείς τους υπόλοιπους μαλακες.ομολογω με ιντριγκάρει περισσότερο το πρώτο.,Offensive
126,386,@USER Λάθος που αντί να τους γράψω στα αρχιδια μου κάθομαι και νιώθω άσχημα και ντρέπομαι εγώ κι όχι αυτοί για τη συμπεριφορά τους,Offensive
127,391,@USER Ο Κούλης θα κάνει το τανκ κ ο Μπογδάνος το βλήμα #ΝΔ_ξεφτίλες,Offensive
128,392,"Δεν είστε φιλελεύθεροι, ακροδεξιά σκουπίδια είστε. #ΝΔ_ξεφτιλες",Offensive
129,396,"@USER Αφού τους είχες ζήσει, όπως και γω, φαντάσου πόσο βλακας είσαι που τόσο καιρό δεν είχες καταλάβει πως να μην σου ξανασυμβεί.",Offensive
130,399,Είδα τρέιλερ και είδα και Έλενα...Μεγαλο τσουλακι. #poweroflovegr,Offensive
